type,old_split,new_split,phash_distance,dhash_distance,orientation,old_image,new_image
EXACT,test,train,0,0,identical,data\raw\test\192_jpg.rf.64bdd145995673cb5d18d8a9029adc4c.jpg,new_dataset\Final Project.v1i.coco\train\192_jpg.rf.fa70b5623bbf5a50fce3f99c7700c356.jpg
EXACT,test,train,0,0,identical,data\raw\test\193_jpg.rf.3dbca20150b129f978e16987c7b1aeae.jpg,new_dataset\Final Project.v1i.coco\train\193_jpg.rf.4b9600308a36c2bc9134298aa0fcee52.jpg
EXACT,test,train,0,0,identical,data\raw\test\206_jpg.rf.945f50fcc1b02c6f91aee1223d113794.jpg,new_dataset\Final Project.v1i.coco\train\206_jpg.rf.928d7ca6214060d0159d143b49f0d15c.jpg
EXACT,test,valid,0,0,identical,data\raw\test\2_108_jpg.rf.59b4fbd329dfa98c5eb266726878796d.jpg,new_dataset\Final Project.v1i.coco\valid\2_108_jpg.rf.204810c2319b6b4003cbccf1d23a9152.jpg
EXACT,test,train,0,0,identical,data\raw\test\2_113_jpg.rf.8df001fc60e9d115bfa9abe7f4a8836c.jpg,new_dataset\Final Project.v1i.coco\train\2_113_jpg.rf.6e4398523ca67a06b6b405aab0db5998.jpg
EXACT,test,train,0,0,identical,data\raw\test\2_23_jpg.rf.518abd81501e67a8104f16ec260ba5ef.jpg,new_dataset\Final Project.v1i.coco\train\2_23_jpg.rf.db30bd86b4444940b8888f09c6e6f4ab.jpg
EXACT,test,valid,0,0,identical,data\raw\test\2_2_jpg.rf.4d80a9bb80690e1be6282db5ebdce135.jpg,new_dataset\Final Project.v1i.coco\valid\2_2_jpg.rf.05da19ac3c918a99e293849ee0672d56.jpg
EXACT,test,train,0,0,identical,data\raw\test\2_4_jpg.rf.3b50a18a9bfc76da2e9a5e496bfa8548.jpg,new_dataset\Final Project.v1i.coco\train\2_4_jpg.rf.610070dad5e01bb6fe6a7666009798bb.jpg
EXACT,train,train,0,0,identical,data\raw\train\101_jpg.rf.6fff538b0f9c658239932dc1807e2b1d.jpg,new_dataset\Final Project.v1i.coco\train\101_jpg.rf.915eb59c90f9fa29e92a72828c3aecbb.jpg
EXACT,train,train,0,0,identical,data\raw\train\103_jpg.rf.0558661a959cb967d9cebb1da25cad8b.jpg,new_dataset\Final Project.v1i.coco\train\103_jpg.rf.166c9a93d9f44880a43c6384b27c7359.jpg
EXACT,train,train,0,0,identical,data\raw\train\104_jpg.rf.2fea6801b7481a0dc187fb9316c90fb3.jpg,new_dataset\Final Project.v1i.coco\train\104_jpg.rf.7f88fa0349b2d5ad1373f6dde860e59c.jpg
EXACT,train,test,0,0,identical,data\raw\train\105_jpg.rf.b20c67a67a7b870faaf659dd4378bef4.jpg,new_dataset\Final Project.v1i.coco\test\105_jpg.rf.3567bae054d3b65b66038f3c7defc14e.jpg
EXACT,train,train,0,0,identical,data\raw\train\106_jpg.rf.65c91a48a4ca44eae6e51f4ca697af58.jpg,new_dataset\Final Project.v1i.coco\train\106_jpg.rf.ad6f668c3f73f01d992fc9067013babb.jpg
EXACT,train,valid,0,0,identical,data\raw\train\107_jpg.rf.cae83c033c736bba7f8e81e14979a95d.jpg,new_dataset\Final Project.v1i.coco\valid\107_jpg.rf.f5e65d7c06fc2e07e6bea5f5418e5012.jpg
EXACT,train,test,0,0,identical,data\raw\train\108_jpg.rf.edcfa0bc0bfd1d3c681bc8f0fcfaecf5.jpg,new_dataset\Final Project.v1i.coco\test\108_jpg.rf.f5c3168d5313cd8c3203b1a48a802959.jpg
EXACT,train,train,0,0,identical,data\raw\train\109_jpg.rf.31b93b1a36ce98eecbce25228dfcf552.jpg,new_dataset\Final Project.v1i.coco\train\109_jpg.rf.36143738ee191de19126612ef9916f01.jpg
EXACT,train,train,0,0,identical,data\raw\train\10_jpg.rf.fbbbd021ce2fca5857822355e2fec3fa.jpg,new_dataset\Final Project.v1i.coco\train\10_jpg.rf.2486b6d2a33c50124f42620b2eafce99.jpg
EXACT,train,train,0,0,identical,data\raw\train\111_jpg.rf.10c3293accd6e88bbf856089c55c19b8.jpg,new_dataset\Final Project.v1i.coco\train\111_jpg.rf.5638e40a8a8b9443d3e8efce260cffd4.jpg
EXACT,train,train,0,0,identical,data\raw\train\112_jpg.rf.1243ba900fec8217a08faef403ef318a.jpg,new_dataset\Final Project.v1i.coco\train\112_jpg.rf.98db77ce8c42a626511cb32d57d4262f.jpg
EXACT,train,test,0,0,identical,data\raw\train\113_jpg.rf.5cbcbadc145a310527093e83acdb1d99.jpg,new_dataset\Final Project.v1i.coco\test\113_jpg.rf.5e0e05a63a174a8109901d63ed2c3d9e.jpg
EXACT,train,train,0,0,identical,data\raw\train\115_jpg.rf.bd3dff0799a7d39e8b8a042e91fd6a5e.jpg,new_dataset\Final Project.v1i.coco\train\115_jpg.rf.e058c831f6946f45cd0b30a1353341d1.jpg
EXACT,train,train,0,0,identical,data\raw\train\117_jpg.rf.f90b5ab2dc5e2076fe5a970b502642af.jpg,new_dataset\Final Project.v1i.coco\train\117_jpg.rf.cece52186313af1e9119d8b03d337aba.jpg
EXACT,train,train,0,0,identical,data\raw\train\120_jpg.rf.73aa16e4f8e3f05020b726342ffde1dc.jpg,new_dataset\Final Project.v1i.coco\train\120_jpg.rf.a5538b04e71455630281023f0b5dbb4c.jpg
EXACT,train,valid,0,0,identical,data\raw\train\122_jpg.rf.571ca1bfb931c967bcd9f5db7df086ff.jpg,new_dataset\Final Project.v1i.coco\valid\122_jpg.rf.d6ac99ab66eb366797c8367bac36a6fa.jpg
EXACT,train,train,0,0,identical,data\raw\train\125_jpg.rf.bb646c5d55d6c8224ec05ebc48d10200.jpg,new_dataset\Final Project.v1i.coco\train\125_jpg.rf.440dc9b9264fc668ff5fde836388a5ff.jpg
EXACT,train,test,0,0,identical,data\raw\train\126_jpg.rf.a00f234a36d4f64538ddcdd8825d980e.jpg,new_dataset\Final Project.v1i.coco\test\126_jpg.rf.81787a3e6509c02dfc8c608b4ac9301f.jpg
EXACT,train,train,0,0,identical,data\raw\train\127_jpg.rf.291332873ac06ad568b98e245856ff49.jpg,new_dataset\Final Project.v1i.coco\train\127_jpg.rf.0c99d81c3dc86daa264e9d6e92cca921.jpg
EXACT,train,train,0,0,identical,data\raw\train\12_jpg.rf.6a6fa8d1eff3853ab9520e8edf819a59.jpg,new_dataset\Final Project.v1i.coco\train\12_jpg.rf.3222888bee31f61d1514260d6091f926.jpg
EXACT,train,test,0,0,identical,data\raw\train\131_jpg.rf.f0c8cc1f8dac702dfada9d5e498ff806.jpg,new_dataset\Final Project.v1i.coco\test\131_jpg.rf.82e5b81c10954fb8958ea9a24c30e05f.jpg
EXACT,train,train,0,0,identical,data\raw\train\132_jpg.rf.9ccf741f73fb0536b826d8dfe52d1c2c.jpg,new_dataset\Final Project.v1i.coco\train\132_jpg.rf.9d6c6dae4ef191e41e6a1b7b201dace6.jpg
EXACT,train,valid,0,0,identical,data\raw\train\134_jpg.rf.7d14a77378b8b171f9a861d0cd083a12.jpg,new_dataset\Final Project.v1i.coco\valid\134_jpg.rf.c35978dc81ceee9517eabbc9ba23a3e2.jpg
EXACT,train,train,0,0,identical,data\raw\train\135_jpg.rf.5f40d89048b389ba09f01c3e86365a95.jpg,new_dataset\Final Project.v1i.coco\train\135_jpg.rf.6c4b03d1872bf84c83f3ce4cbea242af.jpg
EXACT,train,train,0,0,identical,data\raw\train\136_jpg.rf.5e7318b961bf8eb1168f683e2d27ecd2.jpg,new_dataset\Final Project.v1i.coco\train\136_jpg.rf.f11d76e261e5e78e7f046bc0973b3ead.jpg
EXACT,train,test,0,0,identical,data\raw\train\137_jpg.rf.03cf0413700e5a905d95ad9303641537.jpg,new_dataset\Final Project.v1i.coco\test\137_jpg.rf.a9aef31077df798a1814ae86a1fe059b.jpg
EXACT,train,train,0,0,identical,data\raw\train\138_jpg.rf.725a4254d55a257cd880ae41dc239504.jpg,new_dataset\Final Project.v1i.coco\train\138_jpg.rf.94fc9448a27db076bbe5c21ba3938e85.jpg
EXACT,train,train,0,0,identical,data\raw\train\139_jpg.rf.996ac69b2446d4fb821130cdf3ceabff.jpg,new_dataset\Final Project.v1i.coco\train\139_jpg.rf.bbacdf4a11f0032dd7d2cf25f64a0202.jpg
EXACT,train,valid,0,0,identical,data\raw\train\140_jpg.rf.b8438b01aee146c11130672bebd17446.jpg,new_dataset\Final Project.v1i.coco\valid\140_jpg.rf.4f7b1f439a461fcfca8167d7aa7e1792.jpg
EXACT,train,train,0,0,identical,data\raw\train\141_jpg.rf.aba21c949d5f75bda7a777e04f447c1d.jpg,new_dataset\Final Project.v1i.coco\train\141_jpg.rf.02611fa4b023ba40b524a8b090c9f672.jpg
EXACT,train,train,0,0,identical,data\raw\train\142_jpg.rf.8ef75292f0df0c84541784d54950dd36.jpg,new_dataset\Final Project.v1i.coco\train\142_jpg.rf.d0392548bb1be0395db7e77c295c1442.jpg
EXACT,train,train,0,0,identical,data\raw\train\144_jpg.rf.61f15bb7b5a4574bd40517a73c8a17a2.jpg,new_dataset\Final Project.v1i.coco\train\144_jpg.rf.5aa2789fc30b72c06d30ce8dbf4cf70e.jpg
EXACT,train,train,0,0,identical,data\raw\train\145_jpg.rf.2a905a4241da99f4cb41fb5d628d6641.jpg,new_dataset\Final Project.v1i.coco\train\145_jpg.rf.d29516f996815941e1483eec254a2ee8.jpg
EXACT,train,train,0,0,identical,data\raw\train\147_jpg.rf.612a4029c440b38f0c92342065597745.jpg,new_dataset\Final Project.v1i.coco\train\147_jpg.rf.ba50b846226b74e053868e133e30e854.jpg
EXACT,train,train,0,0,identical,data\raw\train\150_jpg.rf.e737193b03b8d197854831f0e6b5227d.jpg,new_dataset\Final Project.v1i.coco\train\150_jpg.rf.ac359c7fcc7312997387f62c8de7117a.jpg
EXACT,train,valid,0,0,identical,data\raw\train\152_jpg.rf.b455417a2b182b642349f23b0dc5a1bc.jpg,new_dataset\Final Project.v1i.coco\valid\152_jpg.rf.8e22c4ea674717ecdd45109d9983bb5f.jpg
EXACT,train,train,0,0,identical,data\raw\train\154_jpg.rf.0b37d69ea9b84b4dbc800f776526451a.jpg,new_dataset\Final Project.v1i.coco\train\154_jpg.rf.f6f04545b8f2097ce0d8b2ecb18f996a.jpg
EXACT,train,train,0,0,identical,data\raw\train\155_jpg.rf.ac3c0ba0e200d69bc179274541fd60f5.jpg,new_dataset\Final Project.v1i.coco\train\155_jpg.rf.b2299b071e226231d435db48ac8bbea0.jpg
EXACT,train,train,0,0,identical,data\raw\train\157_jpg.rf.4efebba6d7f3cb93503bc8dbceff4105.jpg,new_dataset\Final Project.v1i.coco\train\157_jpg.rf.21a379d34397d94ba6ffb01f878054cf.jpg
EXACT,train,valid,0,0,identical,data\raw\train\15_jpg.rf.c44430259078ebd69ff243af3d456764.jpg,new_dataset\Final Project.v1i.coco\valid\15_jpg.rf.ac68f35b21df72fa632965f4fcbb92e0.jpg
EXACT,train,train,0,0,identical,data\raw\train\160_jpg.rf.cc1776a11c1f826f9b7bf332b36f8ccc.jpg,new_dataset\Final Project.v1i.coco\train\160_jpg.rf.b103160323a05de6ab73d3764ff81865.jpg
EXACT,train,train,0,0,identical,data\raw\train\163_jpg.rf.b3ff8bed3eb18c413a5e48e512bdfd09.jpg,new_dataset\Final Project.v1i.coco\train\163_jpg.rf.90eac5555d4d5ed798c4d9d2505819ba.jpg
EXACT,train,train,0,0,identical,data\raw\train\164_jpg.rf.53a1dab389e044a4e4de29746033580b.jpg,new_dataset\Final Project.v1i.coco\train\164_jpg.rf.836d8a8a14786ddd23d86b6e5e6959b9.jpg
EXACT,train,train,0,0,identical,data\raw\train\166_jpg.rf.ed3ad90483523d18b4531e8a8582d340.jpg,new_dataset\Final Project.v1i.coco\train\166_jpg.rf.33ca052854400f5ad4afeb434abb4aca.jpg
EXACT,train,train,0,0,identical,data\raw\train\167_jpg.rf.a9faa21052c323ab20e5576bf8010726.jpg,new_dataset\Final Project.v1i.coco\train\167_jpg.rf.8518277479f54db865df3be435bf6687.jpg
EXACT,train,train,0,0,identical,data\raw\train\168_jpg.rf.e46f45ab71e32ae61f176bbbe3879a38.jpg,new_dataset\Final Project.v1i.coco\train\168_jpg.rf.111530dfee2389047e3e05bd23ce7eb0.jpg
EXACT,train,train,0,0,identical,data\raw\train\169_jpg.rf.ce342b4cd54cce5bc7df30f9359a52f6.jpg,new_dataset\Final Project.v1i.coco\train\169_jpg.rf.2718f6cf4c9bf5ad79839a63564374d7.jpg
EXACT,train,test,0,0,identical,data\raw\train\16_jpg.rf.ba9f4cbaf730aa6366c192f2aea8e217.jpg,new_dataset\Final Project.v1i.coco\test\16_jpg.rf.79e8d8e769057ee407cf6c8ecdc7ef90.jpg
EXACT,train,valid,0,0,identical,data\raw\train\170_jpg.rf.7f8494126909df30a159468b9ca0fcfa.jpg,new_dataset\Final Project.v1i.coco\valid\170_jpg.rf.d6a73d7a290b94d95e9362a40408ad9d.jpg
EXACT,train,valid,0,0,identical,data\raw\train\171_jpg.rf.8d79485bbd5e6da99ff123f78f93e340.jpg,new_dataset\Final Project.v1i.coco\valid\171_jpg.rf.3e7b21f932479a216a3170c0833da374.jpg
EXACT,train,train,0,0,identical,data\raw\train\172_jpg.rf.fa2c399b430df928350d7e877db3eb43.jpg,new_dataset\Final Project.v1i.coco\train\172_jpg.rf.12c0c7cbcf2ede6723ff525e82b2b3bc.jpg
EXACT,train,train,0,0,identical,data\raw\train\173_jpg.rf.97db7891637b0e3a0f723077b7d1a129.jpg,new_dataset\Final Project.v1i.coco\train\173_jpg.rf.161eb83d777a8843a2538136f625258f.jpg
EXACT,train,train,0,0,identical,data\raw\train\174_jpg.rf.ca548c56039cc24b713b87719514bca8.jpg,new_dataset\Final Project.v1i.coco\train\174_jpg.rf.1cf083a844ac37eabb7d49e3aa697208.jpg
EXACT,train,train,0,0,identical,data\raw\train\175_jpg.rf.72dde086a94b6b5ea15ee24b82efed44.jpg,new_dataset\Final Project.v1i.coco\train\175_jpg.rf.eefa2865b7623dfe965c771d4f3bac2c.jpg
EXACT,train,train,0,0,identical,data\raw\train\176_jpg.rf.da6381582832c8115848f16a1f67b4b4.jpg,new_dataset\Final Project.v1i.coco\train\176_jpg.rf.c1c46324bc1a5e5bff3597a696acccad.jpg
EXACT,train,train,0,0,identical,data\raw\train\177_jpg.rf.7771bcbbc67b54e4d9d8aa10621a2920.jpg,new_dataset\Final Project.v1i.coco\train\177_jpg.rf.8ef92986448a3c3ca9918bb6b19fb448.jpg
EXACT,train,train,0,0,identical,data\raw\train\178_jpg.rf.57242c25b0d54b36c92fd4f574c3f299.jpg,new_dataset\Final Project.v1i.coco\train\178_jpg.rf.3e5f385a4156a6cb94b19458344e9cc6.jpg
EXACT,train,valid,0,0,identical,data\raw\train\17_jpg.rf.5a43ff4f06d0c6f700f24ebd1a01ee96.jpg,new_dataset\Final Project.v1i.coco\valid\17_jpg.rf.12cd59cef091fbcc20d6873c12771f86.jpg
EXACT,train,train,0,0,identical,data\raw\train\180_jpg.rf.b9220d7fe77524fb7c8a1d5b403f713f.jpg,new_dataset\Final Project.v1i.coco\train\180_jpg.rf.bebbd8a1f001949132817eafb40d5679.jpg
EXACT,train,test,0,0,identical,data\raw\train\181_jpg.rf.036d356aaecda6a895620f08afc68e37.jpg,new_dataset\Final Project.v1i.coco\test\181_jpg.rf.d14bae434a05773a320c7d93dba685bc.jpg
EXACT,train,train,0,0,identical,data\raw\train\182_jpg.rf.78ac843d791dcbc05017045b7f57fe15.jpg,new_dataset\Final Project.v1i.coco\train\182_jpg.rf.18b5e41c7670c418c1b220e61e28fa70.jpg
EXACT,train,train,0,0,identical,data\raw\train\184_jpg.rf.ad4d3ce0b63c3f92cd493d622862e080.jpg,new_dataset\Final Project.v1i.coco\train\184_jpg.rf.4f4fa1a91a709b1ed5d77893fc5b79d0.jpg
EXACT,train,test,0,0,identical,data\raw\train\185_jpg.rf.95b87a92a10404d4ba4508e434d5111f.jpg,new_dataset\Final Project.v1i.coco\test\185_jpg.rf.9d389ce13fd8c28bcc1f05009d73a7c9.jpg
EXACT,train,train,0,0,identical,data\raw\train\186_jpg.rf.636f6f85c182c9ca37e767b5df3cb4c3.jpg,new_dataset\Final Project.v1i.coco\train\186_jpg.rf.7c3de67410b8c55e46cf606570e1d8f9.jpg
EXACT,train,train,0,0,identical,data\raw\train\188_jpg.rf.48a3a6f0736614969350ec361d35577a.jpg,new_dataset\Final Project.v1i.coco\train\188_jpg.rf.919842d0ed72a49703758554619ba2b9.jpg
EXACT,train,train,0,0,identical,data\raw\train\189_jpg.rf.d9c3be14331f0e739efec701d051ea43.jpg,new_dataset\Final Project.v1i.coco\train\189_jpg.rf.37d70469d39f199321ba31f58eab192d.jpg
EXACT,train,train,0,0,identical,data\raw\train\18_jpg.rf.a93c4adc7423aa49a63c27c4d5832b69.jpg,new_dataset\Final Project.v1i.coco\train\18_jpg.rf.e9d5f54da24bab897d7c41c5a1e19f29.jpg
EXACT,train,test,0,0,identical,data\raw\train\190_jpg.rf.9577ebd627c6f6bf2e1b1eaa00152406.jpg,new_dataset\Final Project.v1i.coco\test\190_jpg.rf.545bb83fbbb8709e5d8ce1cacd77580e.jpg
EXACT,train,test,0,0,identical,data\raw\train\191_jpg.rf.fc168ac57723916f2bbafc2ac8c3e6a8.jpg,new_dataset\Final Project.v1i.coco\test\191_jpg.rf.ce5a0df0919c5d3c566dc2c28e672790.jpg
EXACT,train,train,0,0,identical,data\raw\train\194_jpg.rf.c71192d5cb84aab4216c7bd85ba96472.jpg,new_dataset\Final Project.v1i.coco\train\194_jpg.rf.bb93d2667c500bd952b2aec64c70b990.jpg
EXACT,train,valid,0,0,identical,data\raw\train\195_jpg.rf.6440abc273f6212ba5b00086d01e0759.jpg,new_dataset\Final Project.v1i.coco\valid\195_jpg.rf.7727e6f3c967a7482dc7394ad60ef7b4.jpg
EXACT,train,train,0,0,identical,data\raw\train\196_jpg.rf.75e1c5928cac1893fa34b6b28d64793c.jpg,new_dataset\Final Project.v1i.coco\train\196_jpg.rf.04a0faa8f569ada53584ba548ffda477.jpg
EXACT,train,valid,0,0,identical,data\raw\train\197_jpg.rf.5b72101af0a748ebf7606791da7d0609.jpg,new_dataset\Final Project.v1i.coco\valid\197_jpg.rf.1350932a762c218e2cef3c01942b7f31.jpg
EXACT,train,valid,0,0,identical,data\raw\train\198_jpg.rf.280fa7f846ab5d6dd5be346affef43cd.jpg,new_dataset\Final Project.v1i.coco\valid\198_jpg.rf.0fb7cb51b177225b13d5050dbea8ad6f.jpg
EXACT,train,valid,0,0,identical,data\raw\train\199_jpg.rf.c3e7fad1bc10b44f3221fe30e6fd840d.jpg,new_dataset\Final Project.v1i.coco\valid\199_jpg.rf.de39add0d3ccee9532edf8f2fb3e2181.jpg
EXACT,train,train,0,0,identical,data\raw\train\19_jpg.rf.384e422eadc8820449bdebb8e54d1232.jpg,new_dataset\Final Project.v1i.coco\train\19_jpg.rf.c572809ccc5df6ba1f47b44b5d2c2feb.jpg
EXACT,train,train,0,0,identical,data\raw\train\1_jpg.rf.2cda41b9d0377d523589b3b777908604.jpg,new_dataset\Final Project.v1i.coco\train\1_jpg.rf.d3308f0431fb8ef1720fbd34c2f6be0f.jpg
EXACT,train,train,0,0,identical,data\raw\train\200_jpg.rf.6d0c0f08bc6f76f85647fc81b4250406.jpg,new_dataset\Final Project.v1i.coco\train\200_jpg.rf.ae49b3aaf74dfeec09df7a195d4266ac.jpg
EXACT,train,train,0,0,identical,data\raw\train\201_jpg.rf.6a4c54a9f673f125d6a7f12cbb7f6ff5.jpg,new_dataset\Final Project.v1i.coco\train\201_jpg.rf.6360319f09d12e0410a60211d47e1da7.jpg
EXACT,train,test,0,0,identical,data\raw\train\202_jpg.rf.d958accccdff2f5fe375c744af001599.jpg,new_dataset\Final Project.v1i.coco\test\202_jpg.rf.7086d7c8c317f230972971d50afd9e17.jpg
EXACT,train,test,0,0,identical,data\raw\train\203_jpg.rf.df23fd5700c4a5afb99d9971a60ab5b5.jpg,new_dataset\Final Project.v1i.coco\test\203_jpg.rf.99e2567963ce57edff04ad92c27a06bb.jpg
EXACT,train,train,0,0,identical,data\raw\train\204_jpg.rf.7a1b464a948633a3fc3227a2b82d6938.jpg,new_dataset\Final Project.v1i.coco\train\204_jpg.rf.d9048640af5684a00d9d33b6e709e56d.jpg
EXACT,train,valid,0,0,identical,data\raw\train\205_jpg.rf.93f9c74248357f5cbf7d14ff878c21ad.jpg,new_dataset\Final Project.v1i.coco\valid\205_jpg.rf.60e1ab143008eda3e4b30206e3b41ca4.jpg
EXACT,train,train,0,0,identical,data\raw\train\207_jpg.rf.3593b60cc8989b6acee6045ae57d665d.jpg,new_dataset\Final Project.v1i.coco\train\207_jpg.rf.e974eece7fb959b6a4cb1b91058dd65c.jpg
EXACT,train,train,0,0,identical,data\raw\train\208_jpg.rf.2ddcba965e6449f36d22111d6fac99b6.jpg,new_dataset\Final Project.v1i.coco\train\208_jpg.rf.3d0c2f907920a52ad543487535f37c41.jpg
EXACT,train,train,0,0,identical,data\raw\train\209_jpg.rf.e3fec7650300accacf737d3e3a018c5c.jpg,new_dataset\Final Project.v1i.coco\train\209_jpg.rf.03671b4ad43fd617ba89bf97927b2b44.jpg
EXACT,train,valid,0,0,identical,data\raw\train\20_jpg.rf.679aa187e31065e73d8dd737e8b30de5.jpg,new_dataset\Final Project.v1i.coco\valid\20_jpg.rf.7a5b661f32a1c89d3c5b2bb48a343f52.jpg
EXACT,train,valid,0,0,identical,data\raw\train\210_jpg.rf.da2932c46cce0b0701eb7742fdcb685e.jpg,new_dataset\Final Project.v1i.coco\valid\210_jpg.rf.9a7ed85a4dac4a5225d7cf0d66f281d6.jpg
EXACT,train,valid,0,0,identical,data\raw\train\214_jpg.rf.08491e355e56f0fce717f0f5b2be3590.jpg,new_dataset\Final Project.v1i.coco\valid\214_jpg.rf.54ce1bcc69e5a2bf882555ea79fb6ed5.jpg
EXACT,train,train,0,0,identical,data\raw\train\215_jpg.rf.1d96e94f82e74c52c4c861b42e7b6ddf.jpg,new_dataset\Final Project.v1i.coco\train\215_jpg.rf.7d6fe41b777e5a06fb1e15ff9bef757f.jpg
EXACT,train,train,0,0,identical,data\raw\train\216_jpg.rf.616ec57c322da779735a0e36228ea433.jpg,new_dataset\Final Project.v1i.coco\train\216_jpg.rf.9e4bfa31763cf77936133b20fa39a66a.jpg
EXACT,train,valid,0,0,identical,data\raw\train\217_jpg.rf.db1e3702968be35e202d581f8abc0f53.jpg,new_dataset\Final Project.v1i.coco\valid\217_jpg.rf.62fcf0a45b66f37b723bbc3839629d78.jpg
EXACT,train,valid,0,0,identical,data\raw\train\218_jpg.rf.5f3258dceddc2440350ae637752ce914.jpg,new_dataset\Final Project.v1i.coco\valid\218_jpg.rf.04d92ba9ef239a399889f62d3e3c91f8.jpg
EXACT,train,test,0,0,identical,data\raw\train\21_jpg.rf.a8ea4df8a5933d6c034556409979b7ed.jpg,new_dataset\Final Project.v1i.coco\test\21_jpg.rf.c847c95281c3aef1b027653170f6fb4b.jpg
EXACT,train,train,0,0,identical,data\raw\train\22_jpg.rf.4df9ac9c84dcb127c61ceb8614d1ce46.jpg,new_dataset\Final Project.v1i.coco\train\22_jpg.rf.bf2776820b091e7822a18497193c0999.jpg
EXACT,train,train,0,0,identical,data\raw\train\23_jpg.rf.270c33a51050cad023483cb2590d45d0.jpg,new_dataset\Final Project.v1i.coco\train\23_jpg.rf.c0feb23ea8f25f8560bea7b15bce9eca.jpg
EXACT,train,train,0,0,identical,data\raw\train\24_jpg.rf.4ab1dbca5288aa0bf9687cb839709c26.jpg,new_dataset\Final Project.v1i.coco\train\24_jpg.rf.d9b543128b496287e4387124275e4133.jpg
EXACT,train,train,0,0,identical,data\raw\train\25_jpg.rf.e5f04d50c1b76eef204485a4a47e6269.jpg,new_dataset\Final Project.v1i.coco\train\25_jpg.rf.ec22451f3f4042976fba53b35aba600a.jpg
EXACT,train,train,0,0,identical,data\raw\train\26_jpg.rf.5dbbec5d1465b53a5eed96bbdf57cb66.jpg,new_dataset\Final Project.v1i.coco\train\26_jpg.rf.d310175864b47fd19b19ab983f191883.jpg
EXACT,train,valid,0,0,identical,data\raw\train\28_jpg.rf.e8e7b4924f8db8467631fa3dbf6b1f62.jpg,new_dataset\Final Project.v1i.coco\valid\28_jpg.rf.438feaa016d9e8d875a4786614893173.jpg
EXACT,train,test,0,0,identical,data\raw\train\29_jpg.rf.a328b792e03c2b151ccab4f412d24324.jpg,new_dataset\Final Project.v1i.coco\test\29_jpg.rf.4d393d593fb548704e9e52e722476b1f.jpg
EXACT,train,train,0,0,identical,data\raw\train\2_100_jpg.rf.42a18a4a31f652285f2c704821299914.jpg,new_dataset\Final Project.v1i.coco\train\2_100_jpg.rf.1753769a59715acdfc394f2c2b6b151f.jpg
EXACT,train,test,0,0,identical,data\raw\train\2_101_jpg.rf.f9cc189f24f4cd5eefba0329c32bb289.jpg,new_dataset\Final Project.v1i.coco\test\2_101_jpg.rf.f46776614ffbb92e52eea7a2ec3093cf.jpg
EXACT,train,train,0,0,identical,data\raw\train\2_102_jpg.rf.239fceba6f16e6c51314156314f306d0.jpg,new_dataset\Final Project.v1i.coco\train\2_102_jpg.rf.fb1444c9f14326cf996933e1a70ad012.jpg
