split,group_id,new_filename,source_split,original_filename,source_path,Burn Mark,Flash,Short Shot,Sink Mark
train,17,fp_train_0029.jpg,train,103_jpg.rf.166c9a93d9f44880a43c6384b27c7359.jpg,new_dataset\Final Project.v1i.coco\train\103_jpg.rf.166c9a93d9f44880a43c6384b27c7359.jpg,0,0,0,0
train,17,fp_train_0030.jpg,train,96_jpg.rf.80f1a4cde6f8b75edc2f63386641b760.jpg,new_dataset\Final Project.v1i.coco\train\96_jpg.rf.80f1a4cde6f8b75edc2f63386641b760.jpg,0,0,1,0
train,18,fp_train_0031.jpg,train,87_jpg.rf.e4ee99c1ab8dfe1d07a486e4136eb2a7.jpg,new_dataset\Final Project.v1i.coco\train\87_jpg.rf.e4ee99c1ab8dfe1d07a486e4136eb2a7.jpg,0,0,0,0
valid,19,fp_valid_0005.jpg,train,2_88_jpg.rf.bcbe506e38eaecac0fb909e959479d4a.jpg,new_dataset\Final Project.v1i.coco\train\2_88_jpg.rf.bcbe506e38eaecac0fb909e959479d4a.jpg,0,1,0,0
valid,19,fp_valid_0006.jpg,train,2_93_jpg.rf.1d4fc28c82e4f69ab8be4e5c7bdcc997.jpg,new_dataset\Final Project.v1i.coco\train\2_93_jpg.rf.1d4fc28c82e4f69ab8be4e5c7bdcc997.jpg,0,0,0,0
valid,19,fp_valid_0007.jpg,train,2_60_jpg.rf.f161256e95696bcea6525028acc4ab2e.jpg,new_dataset\Final Project.v1i.coco\train\2_60_jpg.rf.f161256e95696bcea6525028acc4ab2e.jpg,0,1,0,0
valid,19,fp_valid_0008.jpg,train,2_58_jpg.rf.18c28dcd880ec344ab6ca6feae145a91.jpg,new_dataset\Final Project.v1i.coco\train\2_58_jpg.rf.18c28dcd880ec344ab6ca6feae145a91.jpg,0,1,0,0
valid,19,fp_valid_0009.jpg,train,2_86_jpg.rf.e63398553362a5a0c905aef0e70d3819.jpg,new_dataset\Final Project.v1i.coco\train\2_86_jpg.rf.e63398553362a5a0c905aef0e70d3819.jpg,0,1,0,0
valid,19,fp_valid_0010.jpg,train,2_85_jpg.rf.17409a485c7d66f6a3e78ec835e6b1fb.jpg,new_dataset\Final Project.v1i.coco\train\2_85_jpg.rf.17409a485c7d66f6a3e78ec835e6b1fb.jpg,0,0,0,0
valid,19,fp_valid_0011.jpg,train,2_61_jpg.rf.44a309b95992f4b58f6f0be4197a3582.jpg,new_dataset\Final Project.v1i.coco\train\2_61_jpg.rf.44a309b95992f4b58f6f0be4197a3582.jpg,0,1,1,0
valid,19,fp_valid_0012.jpg,train,2_90_jpg.rf.b5975351413812bae3892901ed52dff4.jpg,new_dataset\Final Project.v1i.coco\train\2_90_jpg.rf.b5975351413812bae3892901ed52dff4.jpg,0,1,0,0
valid,19,fp_valid_0013.jpg,train,2_67_jpg.rf.de7623c52abe5745dcaf58fce79594e8.jpg,new_dataset\Final Project.v1i.coco\train\2_67_jpg.rf.de7623c52abe5745dcaf58fce79594e8.jpg,0,1,0,0
valid,19,fp_valid_0014.jpg,train,2_65_jpg.rf.ae337de57cea406307bb543b2263a64b.jpg,new_dataset\Final Project.v1i.coco\train\2_65_jpg.rf.ae337de57cea406307bb543b2263a64b.jpg,0,1,0,0
valid,19,fp_valid_0015.jpg,train,2_64_jpg.rf.463d130be68c8918decdade25c61e801.jpg,new_dataset\Final Project.v1i.coco\train\2_64_jpg.rf.463d130be68c8918decdade25c61e801.jpg,0,1,0,0
valid,19,fp_valid_0016.jpg,train,2_84_jpg.rf.ef625eb8896ca02f89fd7ab3f3918863.jpg,new_dataset\Final Project.v1i.coco\train\2_84_jpg.rf.ef625eb8896ca02f89fd7ab3f3918863.jpg,0,1,1,0
valid,19,fp_valid_0017.jpg,train,2_66_jpg.rf.5e958ff80810e74394750e8800b3fdfb.jpg,new_dataset\Final Project.v1i.coco\train\2_66_jpg.rf.5e958ff80810e74394750e8800b3fdfb.jpg,0,0,0,0
valid,19,fp_valid_0018.jpg,valid,2_82_jpg.rf.fd2eb9ebe0b8aa48059e39f181fdc4b9.jpg,new_dataset\Final Project.v1i.coco\valid\2_82_jpg.rf.fd2eb9ebe0b8aa48059e39f181fdc4b9.jpg,0,1,1,0
valid,19,fp_valid_0019.jpg,valid,2_72_jpg.rf.9c39eb7b207bf2605f909a926715c227.jpg,new_dataset\Final Project.v1i.coco\valid\2_72_jpg.rf.9c39eb7b207bf2605f909a926715c227.jpg,0,1,0,0
valid,19,fp_valid_0020.jpg,valid,2_59_jpg.rf.80c92873a9c349b8439ddfc971de139c.jpg,new_dataset\Final Project.v1i.coco\valid\2_59_jpg.rf.80c92873a9c349b8439ddfc971de139c.jpg,0,1,0,0
valid,19,fp_valid_0021.jpg,valid,2_68_jpg.rf.0ec90b81173982eb79365463b8690417.jpg,new_dataset\Final Project.v1i.coco\valid\2_68_jpg.rf.0ec90b81173982eb79365463b8690417.jpg,0,1,1,0
valid,19,fp_valid_0022.jpg,valid,2_81_jpg.rf.c3825c1e996beaeeb339169048263557.jpg,new_dataset\Final Project.v1i.coco\valid\2_81_jpg.rf.c3825c1e996beaeeb339169048263557.jpg,0,0,0,0
valid,19,fp_valid_0023.jpg,valid,2_89_jpg.rf.c7db56f5ca9f62388eb2262c250cefea.jpg,new_dataset\Final Project.v1i.coco\valid\2_89_jpg.rf.c7db56f5ca9f62388eb2262c250cefea.jpg,0,0,0,0
valid,19,fp_valid_0024.jpg,test,2_69_jpg.rf.9bc752ba807d02a89c65b77e2396be2a.jpg,new_dataset\Final Project.v1i.coco\test\2_69_jpg.rf.9bc752ba807d02a89c65b77e2396be2a.jpg,0,1,1,0
train,20,fp_train_0032.jpg,train,2_214_jpg.rf.e4ad685010899fd0cf9d958560a7effe.jpg,new_dataset\Final Project.v1i.coco\train\2_214_jpg.rf.e4ad685010899fd0cf9d958560a7effe.jpg,0,1,1,0
train,20,fp_train_0033.jpg,train,2_169_jpg.rf.952908a81ea7cd4cded6593c4fe6918d.jpg,new_dataset\Final Project.v1i.coco\train\2_169_jpg.rf.952908a81ea7cd4cded6593c4fe6918d.jpg,0,1,1,0
train,20,fp_train_0034.jpg,train,2_186_jpg.rf.69eb3f266e4722811871723a0578faa5.jpg,new_dataset\Final Project.v1i.coco\train\2_186_jpg.rf.69eb3f266e4722811871723a0578faa5.jpg,0,1,0,0
train,20,fp_train_0035.jpg,train,2_221_jpg.rf.cc28ada0a4b1b444d747e6455c5ce548.jpg,new_dataset\Final Project.v1i.coco\train\2_221_jpg.rf.cc28ada0a4b1b444d747e6455c5ce548.jpg,1,1,0,0
train,20,fp_train_0036.jpg,train,2_167_jpg.rf.49ff72a9e1d671ff85f21a8958fd6fc9.jpg,new_dataset\Final Project.v1i.coco\train\2_167_jpg.rf.49ff72a9e1d671ff85f21a8958fd6fc9.jpg,0,1,1,0
train,20,fp_train_0037.jpg,train,2_162_jpg.rf.b81a5dc0c807deb3aa0fec896d7e1340.jpg,new_dataset\Final Project.v1i.coco\train\2_162_jpg.rf.b81a5dc0c807deb3aa0fec896d7e1340.jpg,0,0,0,0
train,20,fp_train_0038.jpg,train,2_156_jpg.rf.e25982e6c38071c026ef4e00344cf0e6.jpg,new_dataset\Final Project.v1i.coco\train\2_156_jpg.rf.e25982e6c38071c026ef4e00344cf0e6.jpg,1,1,0,0
train,20,fp_train_0039.jpg,train,2_203_jpg.rf.ff93a942d90e243017f29530e8ee335a.jpg,new_dataset\Final Project.v1i.coco\train\2_203_jpg.rf.ff93a942d90e243017f29530e8ee335a.jpg,0,1,0,0
train,20,fp_train_0040.jpg,train,2_123_jpg.rf.fa578c1b75543038a6344ca4340fd210.jpg,new_dataset\Final Project.v1i.coco\train\2_123_jpg.rf.fa578c1b75543038a6344ca4340fd210.jpg,0,1,0,0
train,20,fp_train_0041.jpg,train,2_229_jpg.rf.1eccca355820c1fe2d098660cd5dedb6.jpg,new_dataset\Final Project.v1i.coco\train\2_229_jpg.rf.1eccca355820c1fe2d098660cd5dedb6.jpg,0,1,1,0
train,20,fp_train_0042.jpg,train,2_147_jpg.rf.62774d0f38a5c8cff885bf9bc1556921.jpg,new_dataset\Final Project.v1i.coco\train\2_147_jpg.rf.62774d0f38a5c8cff885bf9bc1556921.jpg,0,1,1,0
train,20,fp_train_0043.jpg,train,2_202_jpg.rf.3458a576fe74c837bf6950631532ee11.jpg,new_dataset\Final Project.v1i.coco\train\2_202_jpg.rf.3458a576fe74c837bf6950631532ee11.jpg,0,1,0,0
train,20,fp_train_0044.jpg,train,2_133_jpg.rf.dd7eae972b825ed5993c662cc532a325.jpg,new_dataset\Final Project.v1i.coco\train\2_133_jpg.rf.dd7eae972b825ed5993c662cc532a325.jpg,1,0,0,0
train,20,fp_train_0045.jpg,train,2_144_jpg.rf.3b13d4bca3bdb55ef103ea8be827f9f0.jpg,new_dataset\Final Project.v1i.coco\train\2_144_jpg.rf.3b13d4bca3bdb55ef103ea8be827f9f0.jpg,0,0,0,0
train,20,fp_train_0046.jpg,train,2_116_jpg.rf.df31172614fc8f6dc8dde21c6a9d00dc.jpg,new_dataset\Final Project.v1i.coco\train\2_116_jpg.rf.df31172614fc8f6dc8dde21c6a9d00dc.jpg,0,1,1,0
train,20,fp_train_0047.jpg,train,2_192_jpg.rf.a9b95a15716bda27e2693a90940f48c4.jpg,new_dataset\Final Project.v1i.coco\train\2_192_jpg.rf.a9b95a15716bda27e2693a90940f48c4.jpg,0,1,1,0
train,20,fp_train_0048.jpg,train,2_225_jpg.rf.c10856ca4e0ef9aa0397550f3c91d49d.jpg,new_dataset\Final Project.v1i.coco\train\2_225_jpg.rf.c10856ca4e0ef9aa0397550f3c91d49d.jpg,1,1,0,0
train,20,fp_train_0049.jpg,train,2_224_jpg.rf.d66e06cbc738c59ac7cc5c16703bef50.jpg,new_dataset\Final Project.v1i.coco\train\2_224_jpg.rf.d66e06cbc738c59ac7cc5c16703bef50.jpg,1,0,0,0
train,20,fp_train_0050.jpg,train,2_184_jpg.rf.18fc2a5003b0134da1a89def4f4e8290.jpg,new_dataset\Final Project.v1i.coco\train\2_184_jpg.rf.18fc2a5003b0134da1a89def4f4e8290.jpg,0,1,0,0
train,20,fp_train_0051.jpg,train,2_196_jpg.rf.813d50e258a0df45c3035f1554b1cc11.jpg,new_dataset\Final Project.v1i.coco\train\2_196_jpg.rf.813d50e258a0df45c3035f1554b1cc11.jpg,0,1,1,0
train,20,fp_train_0052.jpg,train,2_191_jpg.rf.a13f8e3cb560362aebcb7f2c870eeca0.jpg,new_dataset\Final Project.v1i.coco\train\2_191_jpg.rf.a13f8e3cb560362aebcb7f2c870eeca0.jpg,0,1,0,0
train,20,fp_train_0053.jpg,train,2_113_jpg.rf.6e4398523ca67a06b6b405aab0db5998.jpg,new_dataset\Final Project.v1i.coco\train\2_113_jpg.rf.6e4398523ca67a06b6b405aab0db5998.jpg,0,1,0,0
train,20,fp_train_0054.jpg,train,2_218_jpg.rf.c9db6fc8b48afe0d5a5a481465fa41bb.jpg,new_dataset\Final Project.v1i.coco\train\2_218_jpg.rf.c9db6fc8b48afe0d5a5a481465fa41bb.jpg,1,0,0,0
train,20,fp_train_0055.jpg,train,2_204_jpg.rf.621cba3efa8d664834a3e4b5f01078fe.jpg,new_dataset\Final Project.v1i.coco\train\2_204_jpg.rf.621cba3efa8d664834a3e4b5f01078fe.jpg,0,1,1,0
train,20,fp_train_0056.jpg,train,2_226_jpg.rf.1ee346a42b23e84be0f23c2f2de34b33.jpg,new_dataset\Final Project.v1i.coco\train\2_226_jpg.rf.1ee346a42b23e84be0f23c2f2de34b33.jpg,1,1,0,0
train,20,fp_train_0057.jpg,train,2_158_jpg.rf.f16df653a2086995104806ef1952e1e0.jpg,new_dataset\Final Project.v1i.coco\train\2_158_jpg.rf.f16df653a2086995104806ef1952e1e0.jpg,0,1,0,0
train,20,fp_train_0058.jpg,train,2_125_jpg.rf.22e52ea994efcd277198b51c635bd552.jpg,new_dataset\Final Project.v1i.coco\train\2_125_jpg.rf.22e52ea994efcd277198b51c635bd552.jpg,0,1,1,0
train,20,fp_train_0059.jpg,train,2_190_jpg.rf.04627e7805d87f5388b3280bf850116d.jpg,new_dataset\Final Project.v1i.coco\train\2_190_jpg.rf.04627e7805d87f5388b3280bf850116d.jpg,0,1,0,0
train,20,fp_train_0060.jpg,train,2_119_jpg.rf.a1e161864b4594697d9aa24580088991.jpg,new_dataset\Final Project.v1i.coco\train\2_119_jpg.rf.a1e161864b4594697d9aa24580088991.jpg,1,1,0,0
train,20,fp_train_0061.jpg,train,2_177_jpg.rf.eedddd60922cfa2aef7ae21c2d0f615f.jpg,new_dataset\Final Project.v1i.coco\train\2_177_jpg.rf.eedddd60922cfa2aef7ae21c2d0f615f.jpg,0,0,0,0
train,20,fp_train_0062.jpg,train,2_152_jpg.rf.42c9e4f68da309da8708191ec1d76679.jpg,new_dataset\Final Project.v1i.coco\train\2_152_jpg.rf.42c9e4f68da309da8708191ec1d76679.jpg,1,0,0,0
train,20,fp_train_0063.jpg,train,2_217_jpg.rf.bc782d734355d661240d92563fe5bead.jpg,new_dataset\Final Project.v1i.coco\train\2_217_jpg.rf.bc782d734355d661240d92563fe5bead.jpg,1,1,0,0
train,20,fp_train_0064.jpg,train,2_172_jpg.rf.a0eb5b67ace9d5ded4dee179dd44bf89.jpg,new_dataset\Final Project.v1i.coco\train\2_172_jpg.rf.a0eb5b67ace9d5ded4dee179dd44bf89.jpg,1,1,0,0
train,20,fp_train_0065.jpg,train,2_118_jpg.rf.532c9fbafd17d91d6e90b4b2cb75aab1.jpg,new_dataset\Final Project.v1i.coco\train\2_118_jpg.rf.532c9fbafd17d91d6e90b4b2cb75aab1.jpg,0,1,0,0
train,20,fp_train_0066.jpg,train,2_157_jpg.rf.1630754ae3223d9d8407fb720c9623da.jpg,new_dataset\Final Project.v1i.coco\train\2_157_jpg.rf.1630754ae3223d9d8407fb720c9623da.jpg,1,1,0,0
train,20,fp_train_0067.jpg,train,2_139_jpg.rf.2f701899bec735b2f9bbc81b07077d62.jpg,new_dataset\Final Project.v1i.coco\train\2_139_jpg.rf.2f701899bec735b2f9bbc81b07077d62.jpg,0,1,0,0
train,20,fp_train_0068.jpg,train,2_198_jpg.rf.520076eab819ae6ae7325c8b933453ca.jpg,new_dataset\Final Project.v1i.coco\train\2_198_jpg.rf.520076eab819ae6ae7325c8b933453ca.jpg,0,0,0,0
train,20,fp_train_0069.jpg,train,2_182_jpg.rf.c8bf44353d82ec058161bdcad7ddecf2.jpg,new_dataset\Final Project.v1i.coco\train\2_182_jpg.rf.c8bf44353d82ec058161bdcad7ddecf2.jpg,0,1,0,0
train,20,fp_train_0070.jpg,train,2_228_jpg.rf.fc96f33cedba9d51eb080e817926913a.jpg,new_dataset\Final Project.v1i.coco\train\2_228_jpg.rf.fc96f33cedba9d51eb080e817926913a.jpg,0,0,0,0
train,20,fp_train_0071.jpg,train,2_179_jpg.rf.2eba0b50184250085999f4316ecedb7b.jpg,new_dataset\Final Project.v1i.coco\train\2_179_jpg.rf.2eba0b50184250085999f4316ecedb7b.jpg,1,1,1,0
train,20,fp_train_0072.jpg,train,2_155_jpg.rf.416a4f915c101055e950c7da831d2947.jpg,new_dataset\Final Project.v1i.coco\train\2_155_jpg.rf.416a4f915c101055e950c7da831d2947.jpg,1,1,0,0
train,20,fp_train_0073.jpg,train,2_159_jpg.rf.96e84dd5611efccbcfaeb25484b0c1f0.jpg,new_dataset\Final Project.v1i.coco\train\2_159_jpg.rf.96e84dd5611efccbcfaeb25484b0c1f0.jpg,0,0,0,0
train,20,fp_train_0074.jpg,train,2_230_jpg.rf.765255e67a199a055a6a3ceab45f8628.jpg,new_dataset\Final Project.v1i.coco\train\2_230_jpg.rf.765255e67a199a055a6a3ceab45f8628.jpg,0,1,1,0
train,20,fp_train_0075.jpg,train,2_213_jpg.rf.cff1d91c3d7fde023546510dc95a1ad5.jpg,new_dataset\Final Project.v1i.coco\train\2_213_jpg.rf.cff1d91c3d7fde023546510dc95a1ad5.jpg,1,0,0,0
train,20,fp_train_0076.jpg,train,2_212_jpg.rf.be3aee3a7d20b0cade66013d58a98971.jpg,new_dataset\Final Project.v1i.coco\train\2_212_jpg.rf.be3aee3a7d20b0cade66013d58a98971.jpg,0,1,0,0
train,20,fp_train_0077.jpg,train,2_137_jpg.rf.8f1531bdc0162734c599556d87089d6e.jpg,new_dataset\Final Project.v1i.coco\train\2_137_jpg.rf.8f1531bdc0162734c599556d87089d6e.jpg,0,0,0,0
train,20,fp_train_0078.jpg,train,2_222_jpg.rf.40ec67e6882d8c8cb78da6849458281f.jpg,new_dataset\Final Project.v1i.coco\train\2_222_jpg.rf.40ec67e6882d8c8cb78da6849458281f.jpg,0,1,0,0
train,20,fp_train_0079.jpg,train,2_210_jpg.rf.8051102dc1fbed07b46ab4d11a1fe1bd.jpg,new_dataset\Final Project.v1i.coco\train\2_210_jpg.rf.8051102dc1fbed07b46ab4d11a1fe1bd.jpg,1,0,0,0
train,20,fp_train_0080.jpg,train,2_173_jpg.rf.d3285f6ff01cf2156685ceb39e88e51f.jpg,new_dataset\Final Project.v1i.coco\train\2_173_jpg.rf.d3285f6ff01cf2156685ceb39e88e51f.jpg,0,0,0,0
train,20,fp_train_0081.jpg,train,2_223_jpg.rf.606771bb23f8f10924334d2ea57b8581.jpg,new_dataset\Final Project.v1i.coco\train\2_223_jpg.rf.606771bb23f8f10924334d2ea57b8581.jpg,1,0,0,0
train,20,fp_train_0082.jpg,train,2_117_jpg.rf.cbbc12ee43af5d9fb8dac28b9447c3ab.jpg,new_dataset\Final Project.v1i.coco\train\2_117_jpg.rf.cbbc12ee43af5d9fb8dac28b9447c3ab.jpg,0,1,0,0
train,20,fp_train_0083.jpg,train,2_164_jpg.rf.31b48523921a05decb54b27fcf29f03a.jpg,new_dataset\Final Project.v1i.coco\train\2_164_jpg.rf.31b48523921a05decb54b27fcf29f03a.jpg,0,1,0,0
train,20,fp_train_0084.jpg,train,2_163_jpg.rf.4b60e6b1513f40e4d9a7ae1e246f69da.jpg,new_dataset\Final Project.v1i.coco\train\2_163_jpg.rf.4b60e6b1513f40e4d9a7ae1e246f69da.jpg,0,0,0,0
train,20,fp_train_0085.jpg,train,2_209_jpg.rf.946bea3ec9cdbddf91c80767dc3d773c.jpg,new_dataset\Final Project.v1i.coco\train\2_209_jpg.rf.946bea3ec9cdbddf91c80767dc3d773c.jpg,0,1,0,0
train,20,fp_train_0086.jpg,train,2_174_jpg.rf.0138538e6a6fecbc3465f00b9d24d826.jpg,new_dataset\Final Project.v1i.coco\train\2_174_jpg.rf.0138538e6a6fecbc3465f00b9d24d826.jpg,0,0,0,0
